route_short_name,route_long_name,route_desc,route_type,route_id,agency_id,via
250-C,250-CDOWN,Bagalagunte Village To Kempegowda Bus Station,3,3184,BMTC,Jalahalli Cross
300-D,300-DDOWN,B Channasandra To Shivajinagara Bus Station,3,3191,BMTC,Ayyappa Temple Coles Park
349-B,349-BUP,KR Market To Gattahalli,3,3244,BMTC,Electronic city
213-H,213-HUP,KR Market To Bettahalli Kaval,3,3249,BMTC,Banashankari Silk Farm
240-G,240-GUP,KR Market To Nagarahole Nagara,3,3268,BMTC,KHB Colony
303,303UP,KR Market To Banasawadi,3,3275,BMTC,Indian Express Coles Park
303,303DOWN,Banasawadi To KR Market,3,3279,BMTC,Coles Park Indian Express
300-F,300-FUP,Shivajinagara Bus Station To Ayyappanagara Muneshwara Temple,3,3280,BMTC,Coles Park KR Puram
250-R,250-RDOWN,Chimni Hills To KR Market,3,3291,BMTC,Bagalagunte 8th Mile Jalahalli Cross Yashawanthapura Malleshwaram Anand Rao Circle
250-TA,250-TAUP,KR Market To Meeenakshi Layout,3,3293,BMTC,Malleshwaram Jalahalli Cross 8th Mile Bagalagunte
250-TA,250-TADOWN,Meenakshi Layout To KR Market,3,3294,BMTC,Bagalagunte 8th Mile Jalahalli Cross Malleshwaram
120,120UP,Yashawanthapura New Railway Station To Lingarajapuram,3,3316,BMTC,Malleshwaram 18th Cross
120,120DOWN,Lingarajapuram To Yashawanthapura New Railway Station,3,3318,BMTC,Coles Park
213-L,213-LUP,KR Market To Hosa Doddy Kanakapura Road,3,3320,BMTC,Banashankari Kaggalipura
66,66UP,KHB Colony To Shivajinagara Bus Station,3,3339,BMTC,Magadi Road Tollgate
66,66DOWN,Shivajinagara Bus Station To KHB Colony,3,3340,BMTC,Magadi Road Tollgate
214-K,214-KDOWN,Tattaguppe To Banashankari TTMC,3,3359,BMTC,Silk Farm Konankunte Cross
214-K,214-KUP,Banashankari Bus Station To Tattaguppe bus stop,3,3360,BMTC,SIlk Form
347-E,347-EDOWN,Somasundrapalya To Kempegowda Bus Station,3,3368,BMTC,Madivala
213-T,213-TUP,KR Market To Veerasandra,3,3377,BMTC,Banashankari
12,12UP,Kempegowda Bus Station To Banashankari TTMC Arrival,3,3391,BMTC,Vijaya College
356-K,356-KUP,KR Market To Neraluru,3,3394,BMTC,Madivala
302-F,302-FUP,Kempegowda Bus Station To Babusapalya,3,3406,BMTC,Coles Park Ayyappa Temple
349-M,349-MUP,KR Market To Kaggalipura Last Stop,3,3418,BMTC,Bommanahalli
20-A,20-AUP,Jayanagara 9th Block To Shivajinagara Bus Station,3,3428,BMTC,Jayanagara
302-J,302-JDOWN,Chelikere Extention To Shivajinagara Bus Station,3,3431,BMTC,ITC Factory
25-E,25-EUP,Kempegowda Bus Station To JP Nagara 3rd Phase,3,3440,BMTC,Jayanagara
12-E,12-EUP,Kempegowda Bus Station To Banashankari TTMC,3,3460,BMTC,Vijaya College
214-J,214-JUP,KR Market To Nallakana Doddy,3,3472,BMTC,Banashankari Kaggalipura
215-AB,215-ABUP,Banashankari TTMC To Kothanuru Dinne Ganesha Temple,3,3479,BMTC,Konanakunte Cross
215-AB,215-ABDOWN,Kothanuru Dinne Ganesha Temple To Banashankari TTMC,3,3480,BMTC,Konanakunte Cross
78-A,78-ADOWN,Iskcon Temple To Kempegowda Bus Station,3,3532,BMTC,Rajajinagara Ramamandira
214-E,214-EUP,KR Market To Muninagara,3,3561,BMTC,Talaghattapura
25-K,25-KUP,Kempegowda Bus Station To JP Nagara 4th Phase,3,3584,BMTC,Ashoka Pillar
318-A,318-ADOWN,Bommenahalli To KR Market,3,3593,BMTC,Huskuru Boodigere Cross
24-B,24-BDOWN,Byrasandra New Bus Stand Jayanagara To KR Market,3,3597,BMTC,Jayanagara
22,22DOWN,Byrasandra New Bus Stand Jayanagara To Kempegowda Bus Station,3,3599,BMTC,Ashoka Pillar
24-B,24-BUP,KR Market To Byrasandra New Bus Stand Jayanagara,3,3600,BMTC,Vijayanagara
319-F,319-FUP,Kempegowda Bus Station To Pattandur Agrahara,3,3603,BMTC,Halasuru Hoodi
319-F,319-FDOWN,Pattandur Agrahara To Kempegowda Bus Station,3,3607,BMTC,Hoodi Halasuru
321-A,321-AUP,KR Market To Seegehalli,3,3613,BMTC,Halasuru Hope Farm
321-A,321-ADOWN,Seegehalli To KR Market,3,3617,BMTC,Hope Farm Halasuru
320-E,320-EDOWN,Nagondanahalli To Shivajinagara Bus Station,3,3622,BMTC,Hoodi
